,Unnamed: 0,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
40,40,URN:CornellLabOfOrnithology:EBIRD:OBS863558126,2024-11-19 07:45:13.09732,17192,species,avibase-87874F97,Cattle Tyrant,Machetornis rixosa,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
41,41,URN:CornellLabOfOrnithology:EBIRD:OBS863558127,2024-11-19 07:45:13.09732,34953,species,avibase-9BE4C509,Chestnut-vented Conebill,Conirostrum speciosum,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
42,42,URN:CornellLabOfOrnithology:EBIRD:OBS863405335,2024-11-20 04:08:48.439111,16132,species,avibase-20DB761B,Eared Pygmy-Tyrant,Myiornis auricularis,,,,6,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,"4 along forest road edge, 2 others with a flock; extensive foraging data in field notes",
43,43,URN:CornellLabOfOrnithology:EBIRD:OBS863558123,2024-11-19 07:45:13.09732,33433,species,avibase-C9B58AFF,Variable Oriole,Icterus pyrrhopterus,,,,4,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
46,46,URN:CornellLabOfOrnithology:EBIRD:OBS863201100,2024-11-20 05:11:10.388081,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Avenida Paulista,L3228751,H,-23.5635905,-46.6542456,1977-07-14,,obsr17244,S64383361,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,,common in gardens and wooded streets,
47,47,URN:CornellLabOfOrnithology:EBIRD:OBS863405351,2024-11-20 04:08:48.439111,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,10,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,"very common, even in treetops of forest",
48,48,URN:CornellLabOfOrnithology:EBIRD:OBS863405347,2024-11-20 04:08:48.439111,16595,species,avibase-EF42C6C6,Greenish Tyrannulet,Phyllomyias virescens,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,eating misteltoe berries,
49,49,URN:CornellLabOfOrnithology:EBIRD:OBS863405344,2024-11-20 04:08:48.439111,35544,species,avibase-2CF9456D,Green-winged Saltator,Saltator similis,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
50,50,URN:CornellLabOfOrnithology:EBIRD:OBS863558115,2024-11-19 07:45:13.09732,35544,species,avibase-2CF9456D,Green-winged Saltator,Saltator similis,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
51,51,URN:CornellLabOfOrnithology:EBIRD:OBS863201096,2024-11-20 05:11:10.388081,16265,species,avibase-F1A4E6AD,Gray-headed Tody-Flycatcher,Todirostrum poliocephalum,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Avenida Paulista,L3228751,H,-23.5635905,-46.6542456,1977-07-14,,obsr17244,S64383361,Historical,P62,EBIRD,,,,2.0,0,,0,1,1,,,"from field notes: ""in park along Av. Paulista; in treetops at 45-50'""; this was JWF's first life sighting of this species, and very exciting, as I had studied this bird in museums for years during college. No question about the ID, as I was very familiar with Common Tody-Flycatcher already from elsewhere around South America. Would have clearly seen the bright yellow lores and grayish crown before making this ID.",
